spectrum_lambda,method,baseline,paired_delta_mean,paired_delta_sd,relative_change_percent,wins,n_seeds
1.0,scalar_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.010902017622388993,0.0019354494655341036,-15.760880389759734,3,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.004044249124862831,0.00035861602749680304,-6.490154196868103,3,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,0.0002650108990092011,0.000775231375015704,0.45688110753976385,1,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0.004895501521424858,0.00039364119852498,9.172096478855263,0,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_linear_sigma,0.00027145697041515887,0.0001917973353553225,0.46804620538312136,0,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_linear_sigma,0.003944485728365398,0.0003377281372477987,7.260920521480019,0,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_tanh_sigma,0.003978243501531591,0.0006998732515042369,7.327614490151069,0,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,score,-0.023729571073483943,0.0007330919852770483,-30.414461492569846,3,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_gaussian,-0.02062733341462331,0.0014247393141987488,-27.533049945912325,3,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,fourier_gaussian,-0.07368129559124943,0.006558628037727465,-57.57592288838178,3,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_normalized,-0.024632173995253234,0.001891328994982772,-31.21027363297869,3,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,fourier_normalized,-0.030806233022446464,0.004466811273110199,-36.20116757133462,3,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4,-0.004276821174729048,0.0003468992462596456,-7.302325404927679,3,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4,-0.0012967541467316587,0.00020860884829942785,-2.3328006650417676,3,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.014880261123920583,0.001272628169586986,-21.512166267358456,3,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.008022492626394422,0.0006725774081472928,-12.87438349641803,3,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.00371323260252239,0.00015998610905170707,-6.401645480755381,3,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0.000917258019893267,0.00031480763523132274,1.7185530466378163,0,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_linear_sigma,-0.003706786531116432,0.0008335785501038322,-6.391242661409768,3,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_linear_sigma,-3.3757773166193106e-05,0.0003713885339428291,-0.062140548812039675,2,3
1.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_tanh_sigma,-0.003978243501531591,0.0006998732515042369,-6.827333790059686,3,3
