spectrum_lambda,seed,method,band,score_error
0.5,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.03711811676932503
0.5,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.03573261380352029
0.5,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.0733193782215176
0.5,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.04854081349186071
0.5,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.03772233098325614
0.5,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.03643965951630556
1.0,42,scalar_gate_s1p5_p4_linear_sigma,0,0.09986107163474926
1.0,42,scalar_gate_s1p5_p4_linear_sigma,1,0.07629762601253734
1.0,42,scalar_gate_s1p5_p4_linear_sigma,2,0.046371951198140735
1.0,42,scalar_gate_s1p5_p4_linear_sigma,3,0.042408069484272844
1.0,42,fourier_gate_s1p5_p4_linear_sigma,0,0.08917459226728033
1.0,42,fourier_gate_s1p5_p4_linear_sigma,1,0.07368454355785004
1.0,42,fourier_gate_s1p5_p4_linear_sigma,2,0.04410991056925542
1.0,42,fourier_gate_s1p5_p4_linear_sigma,3,0.039269562361672145
1.0,42,scalar_gate_s1p5_p4_tanh_sigma,0,0.09956238382165536
1.0,42,scalar_gate_s1p5_p4_tanh_sigma,1,0.07792741854821691
1.0,42,scalar_gate_s1p5_p4_tanh_sigma,2,0.04649892276103779
1.0,42,scalar_gate_s1p5_p4_tanh_sigma,3,0.042216601778863466
1.0,42,fourier_gate_s1p5_p4_tanh_sigma,0,0.09017780508680008
1.0,42,fourier_gate_s1p5_p4_tanh_sigma,1,0.07552491772067015
1.0,42,fourier_gate_s1p5_p4_tanh_sigma,2,0.04417036981755498
1.0,42,fourier_gate_s1p5_p4_tanh_sigma,3,0.03793370017982692
1.0,42,score,0,0.09490604013198048
1.0,42,score,1,0.0910637071877244
1.0,42,score,2,0.07203238245608945
1.0,42,score,3,0.06797552068003695
1.0,42,scalar_gaussian,0,0.08182820506244617
1.0,42,scalar_gaussian,1,0.09757052363005035
1.0,42,scalar_gaussian,2,0.0687989482831718
1.0,42,scalar_gaussian,3,0.05291731303286462
1.0,42,fourier_gaussian,0,0.09240391030318541
1.0,42,fourier_gaussian,1,0.1342258979097725
1.0,42,fourier_gaussian,2,0.1427559953366
1.0,42,fourier_gaussian,3,0.12716270925655593
1.0,42,scalar_normalized,0,0.073028918194185
1.0,42,scalar_normalized,1,0.09994326249202966
1.0,42,scalar_normalized,2,0.0774694917775953
1.0,42,scalar_normalized,3,0.06147902859533674
1.0,42,fourier_normalized,0,0.06662580233238397
1.0,42,fourier_normalized,1,0.08685699121024898
1.0,42,fourier_normalized,2,0.08360543695199575
1.0,42,fourier_normalized,3,0.06613735100192815
