sigma,linear_log_sigma,bounded_log_sigmoid
0.37070604577585753,0.38522881388172414,0.09418592402354671
0.37240545823761667,0.38657357062485387,0.09534610556102484
0.3741126612459505,0.38791832736798354,0.09651882450494396
0.37582769051474113,0.3892630841111133,0.09770420346895729
0.377550581921592,0.39060784085424305,0.09890236600210159
0.3792813715085788,0.3919525975973726,0.10011343658632742
0.3810200954830038,0.39329735434050245,0.10133754063363751
0.38276679021815246,0.3946421110836322,0.1025748044828164
0.38452149225405485,0.39598686782676185,0.10382535539574211
0.38628423829825037,0.3973316245698916,0.1050893215532627
0.38805506522655486,0.3986763813130213,0.10636683205062337
0.38983401008383267,0.400021138056151,0.10765801689243047
0.39162111008477124,0.4013658947992807,0.10896300698713719
0.39341640261466,0.4027106515424105,0.11028193414103445
0.395219925230172,0.40405540828554015,0.11161493105173122
0.39703171566014983,0.4054001650286698,0.1129621313011097
0.3988518118063951,0.40674492177179966,0.11432366934773706
0.4006802517444608,0.4080896785149294,0.11569968051871668
0.4025170737244481,0.40943443525805895,0.11709030100096376
0.4043623161718069,0.4107791920011888,0.11849566783188535
0.40621601768813886,0.41212394874431846,0.11991591888944705
0.4080782170520056,0.4134687054874482,0.12135119288161055
0.40994895321973973,0.4148134622305779,0.12280162933511839
0.41182826532625977,0.41615821897370764,0.12426736858361254
0.41371619268588866,0.41750297571683737,0.12574855175506228
0.41561277479317643,0.41884773245996704,0.12724532075848433
0.4175180513237266,0.4201924892030967,0.12875781826993463
0.4194320621350257,0.4215372459462265,0.1302861877177493
0.4213548472672772,0.42288200268935616,0.13183057326701592
0.42328644694423945,0.4242267594324859,0.13339111980325308
0.4252269015740669,0.4255715161756156,0.13496797291527504
0.4271762517501551,0.4269162729187453,0.13656127887722058
0.4291345382519908,0.42826102966187507,0.13817118462972416
0.4311018020460041,0.4296057864050048,0.13979783776020382
0.43307808428642586,0.4309505431481346,0.1414413864822448
0.4350634263161484,0.4322952998912642,0.14310197961405444
0.43705786966759114,0.4336400566343939,0.1447797665559645
0.43906145606356833,0.4349848133775237,0.14647489726695523
0.4410742274181624,0.4363295701206534,0.14818752224017745
0.4430962258376012,0.4376743268637831,0.14991779247744866
0.44512749362113807,0.43901908360691283,0.15166585946269384
0.4471680732619371,0.4403638403500425,0.15343187513430978
0.44921800744796225,0.4417085970931722,0.15521599185642335
0.45127733906287004,0.44305335383630196,0.15701836238901834
0.45334611118690654,0.4443981105794316,0.1588391398569035
0.45542436709780926,0.4457428673225613,0.1606784777174972
0.45751215027171177,0.44708762406569114,0.16253652972739657
0.45960950438405357,0.44843238080882086,0.1644134499077075
0.4617164733104935,0.44977713755195053,0.16630939250810578
0.46383310112782816,0.45112189429508026,0.16822451196960236
0.4659594321149133,0.45246665103821004,0.17015896288598156
0.46809551075359035,0.4538114077813397,0.17211289996388657
0.4702413817296173,0.4551561645244694,0.17408647798152305
0.4723970899336031,0.45650092126759917,0.17607985174594923
0.47456268046194655,0.4578456780107288,0.17809317604892536
0.4767381986177806,0.4591904347538585,0.18012660562129512
0.47892368991191914,0.4605351914969883,0.18218029508586417
0.48111920006380937,0.46187994824011797,0.184254398908751
0.4833247750024882,0.46322470498324764,0.1863490713491804
0.4855404608675436,0.4645694617263775,0.1884644664076865
0.48776630401007887,0.46591421846950715,0.1906007377726978
0.4900023509936829,0.46725897521263676,0.19275803876547723
0.49224864859540424,0.4686037319557666,0.1949365222833836
